Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
8/3/18,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS,5,31,13,45,26
8/4/18,41,Ozone,Flemington,34-019-0001,AQS,6,41,.,34,17
8/5/18,87,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,6,87,.,57,45
8/6/18,122,Ozone,PFIZER LAB SITE,36-005-0133,AQS,7,122,35,75,35
8/7/18,97,Ozone,Leonia,34-003-0006,AQS,5,97,.,81,29
8/8/18,112,Ozone,Leonia,34-003-0006,AQS,6,112,.,60,39
8/9/18,58,Ozone,RIVERHEAD,36-103-0004,AQS,5,58,12,55,30
8/10/18,77,Ozone,Rutgers University,34-023-0011,AQS,6,77,.,68,43
8/11/18,55,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,44,.,55,40
8/12/18,77,Ozone,Rutgers University,34-023-0011,AQS,7,77,14,51,25
8/13/18,33,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,33,.,33,31
8/14/18,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,50,.,54,51
8/15/18,69,PM2.5,FRESHKILLS WEST,36-085-0111,AQS,5,48,20,69,23
8/16/18,97,Ozone,BABYLON,36-103-0002,AQS,6,97,.,95,33
8/17/18,115,Ozone,CCNY,36-061-0135,AQS,7,115,.,77,40
8/18/18,61,PM2.5,IS 74,36-005-0112,AQS,6,58,16,61,23
8/19/18,30,PM2.5,Chester,34-027-3001,AQS,6,28,.,30,19
8/20/18,33,PM2.5,Queens College Near Road,36-081-0125,AQS,7,33,.,33,25
8/21/18,47,PM2.5,Jersey City Firehouse,34-017-1003,AQS,6,40,12,47,26
8/22/18,45,Ozone,RIVERHEAD,36-103-0004,AQS,5,45,.,34,24
8/23/18,49,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,34,.,49,32
8/24/18,64,Ozone,WHITE PLAINS,36-119-2004,AQS,8,64,22,59,44
8/25/18,51,Ozone,Ramapo,34-031-5001,AQS,7,51,.,48,37
8/26/18,71,Ozone,Rutgers University,34-023-0011,AQS,6,71,.,64,24
8/27/18,77,Ozone,Colliers Mills,34-029-0006,AQS,7,77,22,73,43
8/28/18,115,Ozone,Flax Pond,36-103-0044,AQS,8,115,.,92,32
8/29/18,143,Ozone,Flax Pond,36-103-0044,AQS,6,143,.,79,29
8/30/18,64,Ozone,Monmouth University,34-025-0005,AQS,5,64,18,55,25
8/31/18,34,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,31,.,34,23
9/1/18,41,Ozone,Leonia,34-003-0006,AQS,8,41,.,37,16
9/2/18,44,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,44,13,44,24
9/3/18,61,Ozone,Leonia,34-003-0006,AQS,6,61,.,58,36
